,year_built,beds,baths,baths_full,garage,sqft,stories,listPrice,property_type
568,2003.0,3.0,3.0,2.0,2.0,2903.0,2.0,629990.0,Average
572,2003.0,5.0,3.0,2.0,2.0,2698.0,2.0,678900.0,Luxury
576,2003.0,3.0,3.0,2.0,2.0,2424.0,2.0,591990.0,Average
577,2003.0,3.0,2.0,2.0,2.0,1310.0,2.0,356990.0,Affordable
580,2003.0,2.0,2.0,2.0,2.0,2268.0,2.0,669500.0,Luxury
582,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,389990.0,Affordable
583,2003.0,3.0,2.0,2.0,2.0,1591.0,2.0,504295.0,Average
585,2003.0,3.0,3.0,2.0,2.0,1573.0,2.0,348000.0,Affordable
589,2003.0,2.0,2.0,2.0,2.0,2390.0,2.0,681900.0,Luxury
599,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,19000.0,Affordable
601,2003.0,4.0,3.0,2.0,2.0,2066.0,2.0,639100.0,Average
604,2003.0,3.0,3.0,2.0,2.0,2400.0,2.0,559990.0,Average
607,2003.0,4.0,3.0,2.0,2.0,1644.0,2.0,455900.0,Average
612,2003.0,3.0,3.0,2.0,2.0,1977.0,2.0,887846.0,Luxury
613,2003.0,3.0,3.0,2.0,2.0,1412.0,2.0,324990.0,Affordable
617,2003.0,3.0,2.0,2.0,2.0,1311.0,2.0,394990.0,Affordable
621,2003.0,4.0,3.0,2.0,2.0,1831.0,2.0,492900.0,Average
625,2003.0,3.0,3.0,2.0,2.0,1549.0,2.0,344990.0,Affordable
626,2003.0,3.0,3.0,2.0,2.0,2424.0,2.0,554990.0,Average
627,2003.0,3.0,3.0,2.0,2.0,1714.0,2.0,629900.0,Average
634,2003.0,4.0,3.0,2.0,2.0,2291.0,2.0,771900.0,Luxury
637,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,434990.0,Average
640,2003.0,3.0,3.0,2.0,2.0,1708.0,2.0,588800.0,Average
641,2003.0,4.0,3.0,2.0,2.0,1615.0,2.0,404990.0,Affordable
647,2003.0,3.0,3.0,2.0,2.0,2400.0,2.0,479990.0,Average
649,2003.0,3.0,3.0,2.0,2.0,1545.0,2.0,562900.0,Average
650,2003.0,3.0,2.0,2.0,2.0,1337.0,2.0,444900.0,Average
651,2003.0,3.0,2.0,2.0,2.0,1691.0,2.0,615875.0,Average
652,2003.0,3.0,3.0,2.0,2.0,1663.0,2.0,634900.0,Average
655,2003.0,5.0,2.0,2.0,2.0,2698.0,2.0,879900.0,Luxury
657,2003.0,3.0,3.0,2.0,2.0,2068.0,2.0,529500.0,Average
658,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,260000.0,Affordable
662,2003.0,3.0,3.0,2.0,2.0,2721.0,2.0,735500.0,Luxury
664,2003.0,4.0,3.0,2.0,2.0,2400.0,2.0,729990.0,Luxury
665,2003.0,3.0,3.0,2.0,2.0,1714.0,2.0,624900.0,Average
666,2003.0,3.0,3.0,2.0,2.0,2406.0,2.0,869900.0,Luxury
669,2003.0,3.0,3.0,2.0,2.0,3067.0,2.0,801920.0,Luxury
671,2003.0,3.0,2.0,2.0,2.0,1311.0,2.0,394990.0,Affordable
680,2003.0,3.0,3.0,2.0,2.0,3028.0,2.0,672990.0,Luxury
682,2003.0,4.0,3.0,2.0,2.0,2400.0,2.0,719990.0,Luxury
687,2003.0,4.0,3.0,2.0,2.0,2267.0,2.0,584990.0,Average
689,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,60000.0,Affordable
690,2003.0,3.0,3.0,2.0,2.0,1665.0,2.0,589900.0,Average
698,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,365990.0,Affordable
699,2003.0,3.0,3.0,2.0,2.0,2659.0,2.0,469900.0,Average
706,2003.0,2.0,3.0,2.0,2.0,1265.0,2.0,568900.0,Average
708,2003.0,4.0,3.0,2.0,2.0,2659.0,2.0,609900.0,Average
709,2003.0,3.0,3.0,2.0,2.0,2037.0,2.0,541195.0,Average
713,2003.0,3.0,3.0,2.0,2.0,2287.0,2.0,554990.0,Average
722,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,434990.0,Average
726,1992.0,4.0,3.0,2.0,2.0,2840.0,2.0,680000.0,Luxury
730,2003.0,3.0,3.0,2.0,2.0,3064.0,2.0,655990.0,Luxury
731,2003.0,3.0,2.0,2.0,2.0,1579.0,2.0,642500.0,Average
742,2003.0,3.0,3.0,2.0,2.0,2768.0,2.0,532835.0,Average
743,2003.0,3.0,3.0,2.0,2.0,2460.0,2.0,527900.0,Average
746,2003.0,4.0,3.0,2.0,2.0,2077.0,2.0,715500.0,Luxury
747,2003.0,3.0,3.0,2.0,2.0,2249.0,2.0,735000.0,Luxury
751,1991.0,4.0,2.0,2.0,2.0,1767.0,2.0,430000.0,Average
754,2003.0,3.0,3.0,2.0,2.0,2655.0,2.0,538900.0,Average
756,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,287600.0,Affordable
758,2003.0,4.0,3.0,2.0,2.0,2077.0,2.0,644375.0,Average
759,2003.0,3.0,3.0,2.0,2.0,2945.0,2.0,554990.0,Average
760,2003.0,3.0,3.0,2.0,2.0,1573.0,2.0,348000.0,Affordable
765,2003.0,3.0,3.0,2.0,2.0,1453.0,2.0,554900.0,Average
766,2003.0,3.0,3.0,2.0,2.0,1961.0,2.0,639900.0,Average
768,2003.0,3.0,3.0,2.0,2.0,2400.0,2.0,739990.0,Luxury
770,2003.0,2.0,3.0,2.0,2.0,1665.0,2.0,575650.0,Average
771,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,85000.0,Affordable
780,2003.0,3.0,3.0,2.0,2.0,2270.0,2.0,538500.0,Average
781,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,434990.0,Average
783,2003.0,2.0,2.0,2.0,2.0,1997.0,2.0,628900.0,Average
784,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,399990.0,Affordable
785,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,414990.0,Average
786,2003.0,3.0,3.0,2.0,2.0,2311.0,2.0,723130.0,Luxury
788,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,20000.0,Affordable
789,2003.0,4.0,3.0,2.0,2.0,2247.0,2.0,366990.0,Affordable
791,2003.0,3.0,3.0,2.0,2.0,1589.0,2.0,451900.0,Average
798,2003.0,3.0,3.0,2.0,2.0,1856.0,2.0,527485.0,Average
801,2003.0,3.0,3.0,2.0,2.0,2768.0,2.0,538900.0,Average
805,2003.0,4.0,3.0,2.0,2.0,2291.0,2.0,772500.0,Luxury
806,2003.0,3.0,3.0,2.0,2.0,2289.0,2.0,454900.0,Average
810,2003.0,4.0,3.0,2.0,2.0,2215.0,2.0,594500.0,Average
813,2003.0,2.0,3.0,2.0,2.0,1708.0,2.0,635000.0,Average
821,2003.0,3.0,3.0,2.0,2.0,1555.0,2.0,379990.0,Affordable
824,2003.0,4.0,3.0,2.0,2.0,2448.0,2.0,632500.0,Average
