,bathrooms,has3DModel,propertyType,lotAreaValue,unit,priceChange,zestimate,daysOnZillow,datePriceChanged,price,bedrooms,longitude,hasVideo,latitude,zpid,rentZestimate,lotAreaUnit,livingArea,Street Address,City,State/ZIP
302,1,0,CONDO,,Apt 6J,,,7,,299000,2.0,-73.896706,False,40.882454,244456622,,,1061,75 W 238 Street #6J,Bronx,NY 10463
304,1,0,CONDO,,Apt R22,,360800.0,3,,365000,1.0,-73.84454,False,40.718975,79731856,2701,,650,10 Station Sq APT R22,Queens,NY 11375
306,1,0,CONDO,,Apt A2,,1020300.0,9,,995000,2.0,-73.97495,False,40.671814,79712165,3334,,0,19 Fiske Pl APT A2,Brooklyn,NY 11215
310,1,0,CONDO,,Apt 3D,-5100.0,162900.0,108,1732176000000.0,164900,1.0,-73.93507,False,40.79473,441543099,,,0,424 E 115th St APT 3D,Manhattan,NY 10029
315,2,0,CONDO,,Apt 5A,,2721900.0,4,,2800000,3.0,-73.99548,False,40.69748,79714747,7167,,1600,115 Willow St APT 5A,Brooklyn,NY 11201
316,1,0,CONDO,,Apt 1E,,,5,,549000,1.0,-73.95516,False,40.77191,244901668,2873,,0,315 E 77th St APT 1E,New York,NY 10075
318,1,0,CONDO,,Apt 12B,,,8,,179000,1.0,-73.80109,False,40.705524,79516131,,,1041,89-15 Parsons Boulevard #12B,Jamaica,NY 11432
319,1,0,CONDO,,Apt 5F,,295300.0,27,,299000,1.0,-73.849144,False,40.727226,80380211,2360,,811,67-40 Yellowstone Blvd APT 5F,Forest Hills,NY 11375
320,2,0,APARTMENT,871.2,G0,-5000.0,,439,1737619200000.0,134900,2.0,-74.10701,False,40.61897,2094371409,2571,sqft,800,1100 Clove Rd #G0,Staten Island,NY 10301
321,2,0,CONDO,,Apt 7CC,-999.0,,86,1738051200000.0,309000,2.0,-73.85808,False,40.738335,245359864,2814,,,5803 Calloway Street #7CC,Corona,NY 11368
322,2,0,SINGLE_FAMILY,,1FAM,,,4,,849000,3.0,-73.93206,False,40.614075,446710558,,,1320,1823 Ryder St #1FAM,Brooklyn,NY 11234
324,1,0,CONDO,,1D,,,11,,485000,2.0,-73.91212,False,40.74792,445949462,,,900,39-30 52nd Street #1D,Woodside,NY 11377
